No,year,month,day,hour,season,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,PM2.5
24,2010,1,1,23,4,-17.0,41.0,1020.0,-5.0,cv,0.89,0.0,0.0,129.0
25,2010,1,2,0,4,-16.0,38.0,1020.0,-4.0,SE,1.79,0.0,0.0,148.0
26,2010,1,2,1,4,-15.0,42.0,1020.0,-4.0,SE,2.68,0.0,0.0,159.0
27,2010,1,2,2,4,-11.0,63.5,1021.0,-5.0,SE,3.57,0.0,0.0,181.0
28,2010,1,2,3,4,-7.0,85.0,1022.0,-5.0,SE,5.36,0.0,0.0,138.0
29,2010,1,2,4,4,-7.0,85.0,1022.0,-5.0,SE,6.25,0.0,0.0,109.0
30,2010,1,2,5,4,-7.0,92.0,1022.0,-6.0,SE,7.14,0.0,0.0,105.0
31,2010,1,2,6,4,-7.0,92.0,1023.0,-6.0,SE,8.93,0.0,0.0,124.0
32,2010,1,2,7,4,-7.0,85.0,1024.0,-5.0,SE,10.72,0.0,0.0,120.0
33,2010,1,2,8,4,-8.0,85.0,1024.0,-6.0,SE,12.51,0.0,0.0,132.0
34,2010,1,2,9,4,-7.0,85.0,1025.0,-5.0,SE,14.3,0.0,0.0,140.0
35,2010,1,2,10,4,-7.0,85.0,1026.0,-5.0,SE,17.43,0.0,0.0,152.0
36,2010,1,2,11,4,-8.0,79.0,1026.0,-5.0,SE,20.56,0.0,0.0,148.0
37,2010,1,2,12,4,-8.0,79.0,1026.0,-5.0,SE,23.69,0.0,0.0,164.0
38,2010,1,2,13,4,-8.0,79.0,1025.0,-5.0,SE,27.71,0.0,0.0,158.0
39,2010,1,2,14,4,-9.0,73.0,1025.0,-5.0,SE,31.73,0.0,0.0,154.0
40,2010,1,2,15,4,-9.0,73.0,1025.0,-5.0,SE,35.75,0.0,0.0,159.0
41,2010,1,2,16,4,-9.0,73.0,1026.0,-5.0,SE,37.54,0.0,0.0,164.0
42,2010,1,2,17,4,-8.0,79.0,1027.0,-5.0,SE,39.33,0.0,0.0,170.0
43,2010,1,2,18,4,-8.0,79.0,1027.0,-5.0,SE,42.46,0.0,0.0,149.0
44,2010,1,2,19,4,-8.0,79.0,1028.0,-5.0,SE,44.25,0.0,0.0,154.0
45,2010,1,2,20,4,-7.0,85.0,1028.0,-5.0,SE,46.04,0.0,0.0,164.0
46,2010,1,2,21,4,-7.0,85.0,1027.0,-5.0,SE,49.17,0.0,0.0,156.0
47,2010,1,2,22,4,-8.0,85.0,1028.0,-6.0,SE,52.3,0.0,0.0,126.0
48,2010,1,2,23,4,-8.0,85.0,1027.0,-6.0,SE,55.43,0.0,0.0,90.0
49,2010,1,3,0,4,-7.0,92.0,1027.0,-6.0,SE,58.56,0.4,0.4,63.0
50,2010,1,3,1,4,-8.0,85.0,1026.0,-6.0,SE,61.69,0.5,0.9,65.0
51,2010,1,3,2,4,-8.0,92.0,1026.0,-7.0,SE,65.71,0.5,1.4,55.0
52,2010,1,3,3,4,-8.0,92.0,1025.0,-7.0,SE,68.84,0.7,2.1,65.0
53,2010,1,3,4,4,-8.0,92.0,1024.0,-7.0,SE,72.86,1.2,3.3,83.0
54,2010,1,3,5,4,-9.0,92.0,1024.0,-8.0,SE,76.88,0.7,4.0,91.0
55,2010,1,3,6,4,-10.0,85.0,1024.0,-8.0,SE,80.9,1.0,5.0,86.0
56,2010,1,3,7,4,-10.0,92.0,1024.0,-9.0,SE,84.92,0.7,5.7,82.0
57,2010,1,3,8,4,-10.0,92.0,1024.0,-9.0,SE,89.84,0.5,6.2,86.0
