,No,year,month,day,hour,season,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,PM2.5
20750,20751,2012,5,14,14,1,4.0,24.24,1013.9,26.0,cv,2.0,0.0,0.0,46.0
21263,21264,2012,6,4,23,2,18.0,88.28,1008.1,20.0,cv,4.0,0.0,0.0,69.0
21279,21280,2012,6,5,15,2,19.0,88.37,1004.1,21.0,cv,4.0,0.0,0.0,98.0
21280,21281,2012,6,5,16,2,20.0,83.25,1003.1,23.0,cv,4.0,0.0,0.0,89.0
21281,21282,2012,6,5,17,2,18.0,73.5,1003.1,23.0,NE,2.0,0.0,0.0,66.0
21282,21283,2012,6,5,18,2,18.0,69.2,1003.1,24.0,NE,4.0,0.0,0.0,86.0
21283,21284,2012,6,5,19,2,19.0,78.24,1004.1,23.0,NE,7.0,0.0,0.0,80.0
21284,21285,2012,6,5,20,2,18.0,73.5,1004.1,23.0,NE,9.0,0.0,0.0,73.0
21285,21286,2012,6,5,21,2,18.0,78.09,1005.1,22.0,NE,12.0,0.0,0.0,84.0
21286,21287,2012,6,5,22,2,18.0,78.09,1006.1,22.0,cv,2.0,0.0,0.0,75.0
21287,21288,2012,6,5,23,2,18.0,73.5,1007.1,23.0,cv,3.0,0.0,0.0,152.0
21288,21289,2012,6,6,0,2,19.0,88.37,1007.1,21.0,cv,3.0,0.0,0.0,75.0
21289,21290,2012,6,6,1,2,19.0,88.37,1007.1,21.0,SW,1.0,0.0,0.0,75.0
21290,21291,2012,6,6,2,2,19.0,88.37,1006.1,21.0,SW,2.0,0.0,0.0,75.0
21291,21292,2012,6,6,3,2,19.0,88.37,1006.1,21.0,cv,0.0,0.5,0.5,76.0
21292,21293,2012,6,6,4,2,19.0,88.37,1006.1,21.0,cv,0.0,0.7,1.2,74.0
21293,21294,2012,6,6,5,2,19.0,93.98,1005.1,20.0,cv,0.0,0.1,1.3,69.0
21294,21295,2012,6,6,6,2,19.0,93.98,1005.1,20.0,NW,1.0,0.0,0.0,70.0
21295,21296,2012,6,6,7,2,19.0,93.98,1006.1,20.0,cv,0.0,0.0,0.0,74.0
21296,21297,2012,6,6,8,2,19.0,93.98,1007.1,20.0,cv,0.0,0.0,0.0,81.0
21297,21298,2012,6,6,9,2,20.0,94.03,1007.1,21.0,cv,0.0,0.0,0.0,91.0
21298,21299,2012,6,6,10,2,20.0,94.03,1007.1,21.0,cv,0.0,0.0,0.0,112.0
21299,21300,2012,6,6,11,2,20.0,94.03,1007.1,21.0,cv,1.0,0.0,0.0,121.0
21300,21301,2012,6,6,12,2,20.0,88.45,1007.1,22.0,cv,1.0,0.0,0.0,125.0
21301,21302,2012,6,6,13,2,20.0,88.45,1007.1,22.0,cv,1.0,0.0,0.0,120.0
21302,21303,2012,6,6,14,2,19.0,78.24,1007.1,23.0,cv,1.0,0.0,0.0,119.0
21303,21304,2012,6,6,15,2,20.0,83.25,1006.1,23.0,cv,2.0,0.0,0.0,98.0
