,No,year,month,day,hour,season,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,PM2.5
17442,17443,2011,12,28,18,4,4.0,62.0,1027.1,11.0,NE,8.0,0.0,0.0,36.0
17443,17444,2011,12,28,19,4,4.0,62.0,1027.1,11.0,NE,9.0,0.0,0.0,41.0
17444,17445,2011,12,28,20,4,5.0,71.07,1028.1,10.0,NE,11.0,0.0,0.0,44.0
17445,17446,2011,12,28,21,4,5.0,71.07,1028.1,10.0,NE,13.0,0.0,0.0,40.0
17446,17447,2011,12,28,22,4,6.0,76.18,1028.1,10.0,NE,15.0,0.0,0.0,25.0
17447,17448,2011,12,28,23,4,6.0,76.18,1028.1,10.0,NE,17.0,0.0,0.0,28.0
17448,17449,2011,12,29,0,4,6.0,76.18,1028.1,10.0,NE,19.0,0.0,0.0,34.0
17449,17450,2011,12,29,1,4,5.0,76.01,1028.1,9.0,NE,21.0,0.0,0.0,25.0
17450,17451,2011,12,29,2,4,5.0,76.01,1028.1,9.0,NE,23.0,0.0,0.0,27.0
17451,17452,2011,12,29,3,4,5.0,81.34,1028.1,8.0,NE,25.0,0.0,0.0,35.0
17452,17453,2011,12,29,4,4,5.0,81.34,1027.1,8.0,NE,29.0,0.0,0.0,33.0
17453,17454,2011,12,29,5,4,4.0,70.88,1028.1,9.0,NE,34.0,0.0,0.0,34.0
17454,17455,2011,12,29,6,4,4.0,70.88,1028.1,9.0,NE,37.0,0.0,0.0,36.0
17455,17456,2011,12,29,7,4,4.0,70.88,1029.1,9.0,NE,40.0,0.0,0.0,40.0
17456,17457,2011,12,29,8,4,4.0,70.88,1030.1,9.0,NE,44.0,0.0,0.0,41.0
17457,17458,2011,12,29,9,4,4.0,66.27,1030.1,10.0,NE,49.0,0.0,0.0,40.0
17458,17459,2011,12,29,10,4,4.0,62.0,1030.1,11.0,NE,55.0,0.0,0.0,40.0
17460,17461,2011,12,29,12,4,3.0,57.77,1030.1,11.0,NE,66.0,0.0,0.0,38.0
17461,17462,2011,12,29,13,4,1.0,50.08,1029.1,11.0,NE,71.0,0.0,0.0,30.0
17462,17463,2011,12,29,14,4,2.0,53.81,1028.1,11.0,NE,76.0,0.0,0.0,42.0
17463,17464,2011,12,29,15,4,3.0,61.76,1028.1,10.0,NE,83.0,0.0,0.0,40.0
17464,17465,2011,12,29,16,4,3.0,61.76,1029.1,10.0,NE,89.0,0.0,0.0,40.0
17465,17466,2011,12,29,17,4,3.0,66.05,1029.1,9.0,NE,95.0,0.0,0.0,79.0
17466,17467,2011,12,29,18,4,3.0,66.05,1031.2,9.0,NE,102.0,0.0,0.0,94.0
17467,17468,2011,12,29,19,4,3.0,70.67,1031.2,8.0,NE,108.0,0.0,0.0,126.0
17468,17469,2011,12,29,20,4,3.0,75.67,1031.2,7.0,NE,115.0,0.0,0.0,125.0
17469,17470,2011,12,29,21,4,3.0,75.67,1031.2,7.0,NE,120.0,0.0,0.0,105.0
17470,17471,2011,12,29,22,4,3.0,81.06,1031.2,6.0,NE,125.0,0.0,0.0,73.0
17471,17472,2011,12,29,23,4,1.0,70.27,1031.8,6.0,NE,131.0,0.0,0.0,47.0
17472,17473,2011,12,30,0,4,1.0,70.27,1031.8,6.0,NE,136.0,0.0,0.0,35.0
17473,17474,2011,12,30,1,4,0.0,65.36,1031.8,6.0,NE,141.0,0.0,0.0,30.0
17474,17475,2011,12,30,2,4,0.0,70.06,1031.8,5.0,NE,146.0,0.0,0.0,27.0
17475,17476,2011,12,30,3,4,0.0,75.14,1031.8,4.0,NE,151.0,0.0,0.0,29.0
17476,17477,2011,12,30,4,4,0.0,75.14,1031.8,4.0,NE,156.0,0.0,0.0,18.0
17477,17478,2011,12,30,5,4,0.0,80.63,1032.9,3.0,NE,160.0,0.0,0.0,21.0
17478,17479,2011,12,30,6,4,0.0,80.63,1032.9,3.0,NE,164.0,0.0,0.0,23.0
17479,17480,2011,12,30,7,4,0.0,80.63,1033.9,3.0,NE,168.0,0.0,0.0,18.0
17480,17481,2011,12,30,8,4,0.0,75.14,1033.9,4.0,NE,172.0,0.0,0.0,24.0
17481,17482,2011,12,30,9,4,-1.0,60.76,1034.9,6.0,NE,177.0,0.0,0.0,19.0
17482,17483,2011,12,30,10,4,-1.0,56.72,1034.9,7.0,NE,184.0,0.0,0.0,22.0
17483,17484,2011,12,30,11,4,-1.0,52.98,1033.9,8.0,NE,189.0,0.0,0.0,27.0
17484,17485,2011,12,30,12,4,-2.0,49.22,1032.9,8.0,NE,194.0,0.0,0.0,32.0
17485,17486,2011,12,30,13,4,-1.0,52.98,1031.8,8.0,NE,200.0,0.0,0.0,46.0
17486,17487,2011,12,30,14,4,-1.0,52.98,1031.8,8.0,NE,205.0,0.0,0.0,56.0
17487,17488,2011,12,30,15,4,-2.0,49.22,1031.8,8.0,NE,210.0,0.0,0.0,64.0
17488,17489,2011,12,30,16,4,-1.0,56.72,1032.9,7.0,NE,215.0,0.0,0.0,71.0
17489,17490,2011,12,30,17,4,-2.0,56.45,1032.9,6.0,NE,220.0,0.0,0.0,70.0
17490,17491,2011,12,30,18,4,-1.0,60.76,1032.9,6.0,NE,225.0,0.0,0.0,75.0
17491,17492,2011,12,30,19,4,-2.0,60.51,1032.9,5.0,NE,229.0,0.0,0.0,78.0
17492,17493,2011,12,30,20,4,-2.0,60.51,1031.8,5.0,NE,234.0,0.0,0.0,68.0
17493,17494,2011,12,30,21,4,-2.0,60.51,1032.9,5.0,NE,236.0,0.0,0.0,72.0
17494,17495,2011,12,30,22,4,-2.0,60.51,1031.8,5.0,NE,239.0,0.0,0.0,63.0
17495,17496,2011,12,30,23,4,-2.0,69.64,1031.8,3.0,NE,242.0,0.0,0.0,63.0
17496,17497,2011,12,31,0,4,-1.0,69.85,1031.2,4.0,NE,245.0,0.0,0.0,64.0
17497,17498,2011,12,31,1,4,-2.0,69.64,1031.8,3.0,NW,2.0,0.0,0.0,68.0
17498,17499,2011,12,31,2,4,-2.0,74.78,1031.8,2.0,NW,5.0,0.0,0.0,59.0
17499,17500,2011,12,31,3,4,-2.0,80.34,1031.2,1.0,NW,8.0,0.0,0.0,66.0
17500,17501,2011,12,31,4,4,-2.0,74.78,1031.2,2.0,NE,1.0,0.0,0.0,77.0
17501,17502,2011,12,31,5,4,-2.0,80.34,1030.1,1.0,NE,3.0,0.0,0.0,85.0
17502,17503,2011,12,31,6,4,-2.0,80.34,1030.1,1.0,NE,6.0,0.0,0.0,86.0
17503,17504,2011,12,31,7,4,-2.0,80.34,1030.1,1.0,NE,8.0,0.0,0.0,82.0
17504,17505,2011,12,31,8,4,0.0,80.63,1030.1,3.0,NW,2.0,0.0,0.0,85.0
17505,17506,2011,12,31,9,4,1.0,70.27,1031.2,6.0,cv,1.0,0.0,0.0,98.0
17506,17507,2011,12,31,10,4,0.0,61.01,1031.2,7.0,NE,2.0,0.0,0.0,100.0
17507,17508,2011,12,31,11,4,0.0,56.99,1030.1,8.0,NW,2.0,0.0,0.0,106.0
17508,17509,2011,12,31,12,4,-1.0,49.51,1029.1,9.0,NE,2.0,0.0,0.0,94.0
17509,17510,2011,12,31,13,4,-1.0,46.29,1027.1,10.0,SE,2.0,0.0,0.0,87.0
17510,17511,2011,12,31,14,4,-1.0,43.31,1027.1,11.0,SW,2.0,0.0,0.0,80.0
17511,17512,2011,12,31,15,4,-1.0,46.29,1026.1,10.0,SW,4.0,0.0,0.0,730.0
17512,17513,2011,12,31,16,4,-1.0,46.29,1026.1,10.0,SW,7.0,0.0,0.0,80.0
17513,17514,2011,12,31,17,4,-1.0,49.51,1027.1,9.0,SW,10.0,0.0,0.0,94.0
17514,17515,2011,12,31,18,4,0.0,56.99,1027.1,8.0,NW,3.0,0.0,0.0,99.0
17515,17516,2011,12,31,19,4,-1.0,56.72,1028.1,7.0,NE,2.0,0.0,0.0,101.0
17516,17517,2011,12,31,20,4,1.0,65.59,1028.1,7.0,SE,2.0,0.0,0.0,100.0
17517,17518,2011,12,31,21,4,1.0,65.59,1028.1,7.0,SE,4.0,0.0,0.0,97.0
17518,17519,2011,12,31,22,4,1.0,65.59,1028.1,7.0,SE,7.0,0.0,0.0,106.0
17528,17529,2012,1,1,8,4,2.0,80.92,1030.1,5.0,NE,4.0,0.0,0.0,134.0
17529,17530,2012,1,1,9,4,1.0,70.27,1031.2,6.0,NE,9.0,0.0,0.0,131.0
17530,17531,2012,1,1,10,4,-1.0,60.76,1031.2,6.0,NW,5.0,0.0,0.0,100.0
17531,17532,2012,1,1,11,4,-3.0,45.7,1030.1,8.0,NW,11.0,0.0,0.0,98.0
17532,17533,2012,1,1,12,4,-4.0,42.4,1029.1,8.0,NE,7.0,0.0,0.0,68.0
17533,17534,2012,1,1,13,4,-3.0,45.7,1029.1,8.0,NW,6.0,0.0,0.0,71.0
17534,17535,2012,1,1,14,4,-3.0,45.7,1029.1,8.0,NE,7.0,0.0,0.0,78.0
17535,17536,2012,1,1,15,4,-3.0,45.7,1029.1,8.0,NE,13.0,0.0,0.0,85.0
17536,17537,2012,1,1,16,4,-3.0,45.7,1029.1,8.0,NE,20.0,0.0,0.0,96.0
17537,17538,2012,1,1,17,4,-1.0,56.72,1030.1,7.0,NE,27.0,0.0,0.0,143.0
17538,17539,2012,1,1,18,4,-1.0,56.72,1030.1,7.0,NE,34.0,0.0,0.0,151.0
17539,17540,2012,1,1,19,4,-1.0,65.13,1031.2,5.0,NE,42.0,0.0,0.0,162.0
17540,17541,2012,1,1,20,4,-1.0,69.85,1031.2,4.0,NE,47.0,0.0,0.0,113.0
17541,17542,2012,1,1,21,4,-2.0,69.64,1031.2,3.0,NE,51.0,0.0,0.0,73.0
