,No,year,month,day,hour,season,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,PM2.5
26304,26305,2013,1,1,0,4,-17.0,66.23,1016.0,-12.0,SE,24.0,0.0,0.0,146.5
26305,26306,2013,1,1,1,4,-16.0,72.02,1016.0,-12.0,SE,26.0,0.0,0.0,141.5
26307,26308,2013,1,1,3,4,-14.0,78.44,1016.0,-11.0,cv,1.0,0.1,0.1,131.5
26308,26309,2013,1,1,4,4,-16.0,78.1,1016.0,-13.0,NW,2.0,0.0,0.0,107.5
26309,26310,2013,1,1,5,4,-16.0,84.74,1016.0,-14.0,NE,1.0,0.0,0.0,130.5
26310,26311,2013,1,1,6,4,-16.0,84.74,1016.0,-14.0,SW,3.0,0.0,0.0,149.5
26311,26312,2013,1,1,7,4,-18.0,71.6,1018.0,-14.0,NW,5.0,0.0,0.0,125.5
26312,26313,2013,1,1,8,4,-18.0,71.6,1019.0,-14.0,NW,9.0,0.0,0.0,84.5
26313,26314,2013,1,1,9,4,-18.0,71.6,1020.0,-14.0,NW,12.0,0.0,0.0,54.5
26314,26315,2013,1,1,10,4,-22.0,54.98,1021.0,-15.0,NW,19.0,0.0,0.0,26.0
26315,26316,2013,1,1,11,4,-24.0,46.01,1021.0,-15.0,NW,24.0,0.0,0.0,24.5
26317,26318,2013,1,1,13,4,-24.0,46.01,1022.0,-15.0,NW,33.0,0.0,0.0,10.0
26318,26319,2013,1,1,14,4,-25.0,42.03,1022.0,-15.0,NW,37.0,0.0,0.0,7.0
26319,26320,2013,1,1,15,4,-26.0,38.37,1023.0,-15.0,NW,41.0,0.0,0.0,8.5
26320,26321,2013,1,1,16,4,-27.0,38.03,1024.0,-16.0,NW,44.0,0.0,0.0,11.5
26321,26322,2013,1,1,17,4,-27.0,41.36,1024.0,-17.0,NW,47.0,0.0,0.0,19.0
26322,26323,2013,1,1,18,4,-27.0,45.02,1025.0,-18.0,NW,49.0,0.0,0.0,29.0
26323,26324,2013,1,1,19,4,-27.0,45.02,1026.0,-18.0,NW,52.0,0.0,0.0,28.5
26324,26325,2013,1,1,20,4,-28.0,44.68,1026.0,-19.0,NW,53.0,0.0,0.0,21.0
26325,26326,2013,1,1,21,4,-28.0,53.13,1026.0,-21.0,SE,2.0,0.0,0.0,21.5
26326,26327,2013,1,1,22,4,-29.0,57.71,1026.0,-23.0,SE,4.0,0.0,0.0,49.0
26327,26328,2013,1,1,23,4,-30.0,62.84,1027.0,-25.0,cv,1.0,0.0,0.0,44.5
26328,26329,2013,1,2,0,4,-30.0,62.84,1027.0,-25.0,SW,2.0,0.0,0.0,34.5
26330,26331,2013,1,2,2,4,-30.0,62.84,1028.0,-25.0,SW,5.0,0.0,0.0,24.0
26331,26332,2013,1,2,3,4,-31.0,68.59,1028.0,-27.0,SW,7.0,0.0,0.0,16.0
26332,26333,2013,1,2,4,4,-31.0,62.56,1029.0,-26.0,SW,8.0,0.0,0.0,24.0
26333,26334,2013,1,2,5,4,-31.0,68.59,1029.0,-27.0,SW,10.0,0.0,0.0,15.5
26334,26335,2013,1,2,6,4,-31.0,68.59,1030.0,-27.0,SW,12.0,0.0,0.0,12.0
26335,26336,2013,1,2,7,4,-31.0,68.59,1031.0,-27.0,SE,1.0,0.0,0.0,14.5
26336,26337,2013,1,2,8,4,-30.0,68.83,1032.0,-26.0,SW,2.0,0.0,0.0,18.5
26337,26338,2013,1,2,9,4,-28.0,63.39,1033.0,-23.0,SW,4.0,0.0,0.0,22.0
26339,26340,2013,1,2,11,4,-27.0,45.02,1034.0,-18.0,SW,10.0,0.0,0.0,25.5
26340,26341,2013,1,2,12,4,-27.0,41.36,1034.0,-17.0,SW,13.0,0.0,0.0,25.0
26341,26342,2013,1,2,13,4,-26.0,45.35,1035.0,-17.0,SW,16.0,0.0,0.0,21.5
26342,26343,2013,1,2,14,4,-25.0,45.68,1035.0,-16.0,SW,20.0,0.0,0.0,20.0
26343,26344,2013,1,2,15,4,-25.0,45.68,1035.0,-16.0,SW,23.0,0.0,0.0,15.5
26344,26345,2013,1,2,16,4,-26.0,45.35,1035.0,-17.0,SW,25.0,0.0,0.0,43.0
26345,26346,2013,1,2,17,4,-26.0,49.35,1036.0,-18.0,SW,27.0,0.0,0.0,97.0
26346,26347,2013,1,2,18,4,-26.0,53.76,1036.0,-19.0,SE,3.0,0.0,0.0,135.5
26347,26348,2013,1,2,19,4,-26.0,58.6,1036.0,-20.0,SW,2.0,0.0,0.0,142.0
26348,26349,2013,1,2,20,4,-26.0,58.6,1037.0,-20.0,SW,5.0,0.0,0.0,165.5
26350,26351,2013,1,2,22,4,-27.0,58.31,1037.0,-21.0,SW,9.0,0.0,0.0,150.5
26351,26352,2013,1,2,23,4,-26.0,63.93,1038.0,-21.0,SW,10.0,0.0,0.0,127.0
26352,26353,2013,1,3,0,4,-26.0,58.6,1038.0,-20.0,SW,13.0,0.0,0.0,85.5
26353,26354,2013,1,3,1,4,-27.0,63.66,1038.0,-22.0,SW,14.0,0.0,0.0,22.5
26354,26355,2013,1,3,2,4,-27.0,63.66,1039.0,-22.0,SW,15.0,0.0,0.0,17.5
26355,26356,2013,1,3,3,4,-26.0,63.93,1039.0,-21.0,SW,17.0,0.0,0.0,14.0
26356,26357,2013,1,3,4,4,-27.0,63.66,1039.0,-22.0,SW,19.0,0.0,0.0,10.0
26357,26358,2013,1,3,5,4,-28.0,63.39,1039.0,-23.0,SE,2.0,0.0,0.0,11.5
26358,26359,2013,1,3,6,4,-28.0,63.39,1040.0,-23.0,SW,2.0,0.0,0.0,18.0
26359,26360,2013,1,3,7,4,-28.0,63.39,1040.0,-23.0,SE,1.0,0.0,0.0,22.5
26360,26361,2013,1,3,8,4,-27.0,63.66,1041.0,-22.0,SE,3.0,0.0,0.0,32.5
26361,26362,2013,1,3,9,4,-25.0,58.89,1041.0,-19.0,SE,5.0,0.0,0.0,66.0
26362,26363,2013,1,3,10,4,-24.0,54.37,1041.0,-17.0,SE,7.0,0.0,0.0,31.0
26363,26364,2013,1,3,11,4,-24.0,46.01,1041.0,-15.0,SW,2.0,0.0,0.0,33.0
26364,26365,2013,1,3,12,4,-24.0,42.37,1040.0,-14.0,SW,5.0,0.0,0.0,48.5
26365,26366,2013,1,3,13,4,-23.0,42.7,1039.0,-13.0,SW,8.0,0.0,0.0,80.0
26366,26367,2013,1,3,14,4,-24.0,39.05,1039.0,-13.0,SW,11.0,0.0,0.0,83.0
26367,26368,2013,1,3,15,4,-23.0,42.7,1039.0,-13.0,SW,13.0,0.0,0.0,82.5
26368,26369,2013,1,3,16,4,-23.0,46.33,1039.0,-14.0,SW,15.0,0.0,0.0,96.0
26369,26370,2013,1,3,17,4,-24.0,46.01,1038.0,-15.0,SE,2.0,0.0,0.0,95.0
26370,26371,2013,1,3,18,4,-24.0,54.37,1038.0,-17.0,SE,4.0,0.0,0.0,92.0
26371,26372,2013,1,3,19,4,-24.0,50.0,1038.0,-16.0,SE,7.0,0.0,0.0,89.0
26372,26373,2013,1,3,20,4,-26.0,53.76,1038.0,-19.0,SE,9.0,0.0,0.0,146.0
26373,26374,2013,1,3,21,4,-25.0,64.19,1038.0,-20.0,SE,11.0,0.0,0.0,141.5
26374,26375,2013,1,3,22,4,-25.0,64.19,1038.0,-20.0,SE,13.0,0.0,0.0,129.0
26375,26376,2013,1,3,23,4,-25.0,58.89,1037.0,-19.0,SE,16.0,0.0,0.0,119.5
26376,26377,2013,1,4,0,4,-26.0,63.93,1036.0,-21.0,SE,18.0,0.0,0.0,119.0
26377,26378,2013,1,4,1,4,-26.0,63.93,1036.0,-21.0,SE,20.0,0.0,0.0,128.0
26378,26379,2013,1,4,2,4,-24.0,64.46,1036.0,-19.0,SE,22.0,0.0,0.0,146.5
26379,26380,2013,1,4,3,4,-25.0,70.03,1035.0,-21.0,cv,2.0,0.0,0.0,184.0
26380,26381,2013,1,4,4,4,-27.0,69.56,1035.0,-23.0,SE,1.0,0.0,0.0,224.0
26381,26382,2013,1,4,5,4,-26.0,69.79,1034.0,-22.0,SE,3.0,0.0,0.0,247.0
26382,26383,2013,1,4,6,4,-25.0,64.19,1034.0,-20.0,SE,5.0,0.0,0.0,268.0
26383,26384,2013,1,4,7,4,-24.0,64.46,1034.0,-19.0,SE,8.0,0.0,0.0,300.0
26384,26385,2013,1,4,8,4,-23.0,64.72,1033.0,-18.0,SE,11.0,0.0,0.0,340.0
26385,26386,2013,1,4,9,4,-22.0,59.74,1033.0,-16.0,SE,15.0,0.0,0.0,330.0
26386,26387,2013,1,4,10,4,-20.0,55.57,1032.0,-13.0,SE,18.0,0.0,0.0,374.5
26387,26388,2013,1,4,11,4,-19.0,51.56,1031.0,-11.0,SE,21.0,0.0,0.0,304.5
26388,26389,2013,1,4,12,4,-17.0,48.25,1029.0,-8.0,SE,23.0,0.0,0.0,176.0
26389,26390,2013,1,4,13,4,-17.0,44.65,1028.0,-7.0,SW,3.0,0.0,0.0,79.5
26390,26391,2013,1,4,14,4,-18.0,37.99,1028.0,-6.0,SW,6.0,0.0,0.0,51.0
26391,26392,2013,1,4,15,4,-18.0,37.99,1027.0,-6.0,SW,8.0,0.0,0.0,56.5
26392,26393,2013,1,4,16,4,-17.0,44.65,1026.0,-7.0,SW,10.0,0.0,0.0,72.0
26393,26394,2013,1,4,17,4,-14.0,61.92,1026.0,-8.0,SW,13.0,0.0,0.0,109.5
26394,26395,2013,1,4,18,4,-14.0,66.95,1026.0,-9.0,SE,2.0,0.0,0.0,122.5
26395,26396,2013,1,4,19,4,-15.0,66.71,1025.0,-10.0,SE,4.0,0.0,0.0,96.0
26396,26397,2013,1,4,20,4,-17.0,61.12,1025.0,-11.0,SE,6.0,0.0,0.0,73.0
26397,26398,2013,1,4,21,4,-18.0,56.16,1025.0,-11.0,SE,9.0,0.0,0.0,60.0
26398,26399,2013,1,4,22,4,-17.0,56.45,1025.0,-10.0,SE,12.0,0.0,0.0,54.5
26399,26400,2013,1,4,23,4,-17.0,61.12,1025.0,-11.0,SE,15.0,0.0,0.0,55.0
26400,26401,2013,1,5,0,4,-17.0,61.12,1024.0,-11.0,SE,18.0,0.0,0.0,57.0
26401,26402,2013,1,5,1,4,-17.0,61.12,1024.0,-11.0,SE,21.0,0.0,0.0,60.5
26402,26403,2013,1,5,2,4,-16.0,66.47,1024.0,-11.0,SE,24.0,0.0,0.0,70.5
26403,26404,2013,1,5,3,4,-18.0,65.98,1024.0,-13.0,SE,25.0,0.0,0.0,83.0
26404,26405,2013,1,5,4,4,-20.0,71.16,1024.0,-16.0,cv,1.0,0.0,0.0,111.5
